map,algorithm,iteration,time_ms,cost
maze512.txt,BFS,0,2007.97,1229.1
maze512.txt,BFS,1,1786.52,1229.1
maze512.txt,BFS,2,1787.32,1229.1
maze512.txt,BFS,3,1775.12,1229.1
maze512.txt,BFS,4,1959.93,1229.1
maze512.txt,BFS,5,1943.27,1229.1
maze512.txt,BFS,6,2018.48,1229.1
maze512.txt,BFS,7,2139.1,1229.1
maze512.txt,BFS,8,2154.38,1229.1
maze512.txt,BFS,9,2076.34,1229.1
maze512.txt,BFS,10,2228.61,1229.1
maze512.txt,BFS,11,1938.49,1229.1
maze512.txt,BFS,12,1999.55,1229.1
maze512.txt,BFS,13,2041.78,1229.1
maze512.txt,BFS,14,1974.14,1229.1
maze512.txt,BFS,15,2227.21,1229.1
maze512.txt,BFS,16,1899.2,1229.1
maze512.txt,BFS,17,1809.55,1229.1
maze512.txt,BFS,18,1790.29,1229.1
maze512.txt,BFS,19,1769.93,1229.1
maze512.txt,Greedy,0,10.3848,1229.1
maze512.txt,Greedy,1,10.6293,1229.1
maze512.txt,Greedy,2,10.8199,1229.1
maze512.txt,Greedy,3,10.5181,1229.1
maze512.txt,Greedy,4,10.444,1229.1
maze512.txt,Greedy,5,10.1627,1229.1
maze512.txt,Greedy,6,10.4355,1229.1
maze512.txt,Greedy,7,10.4888,1229.1
maze512.txt,Greedy,8,11.2852,1229.1
maze512.txt,Greedy,9,10.3566,1229.1
maze512.txt,Greedy,10,10.1898,1229.1
maze512.txt,Greedy,11,10.8025,1229.1
maze512.txt,Greedy,12,10.301,1229.1
maze512.txt,Greedy,13,10.1847,1229.1
maze512.txt,Greedy,14,12.0808,1229.1
maze512.txt,Greedy,15,10.0511,1229.1
maze512.txt,Greedy,16,10.2647,1229.1
maze512.txt,Greedy,17,10.4548,1229.1
maze512.txt,Greedy,18,10.4386,1229.1
maze512.txt,Greedy,19,10.2402,1229.1
maze512.txt,AStar,0,1125.78,917.106
maze512.txt,AStar,1,1138.35,917.106
maze512.txt,AStar,2,1131.42,917.106
maze512.txt,AStar,3,1123.62,917.106
maze512.txt,AStar,4,1133.47,917.106
maze512.txt,AStar,5,1146.3,917.106
maze512.txt,AStar,6,1130.36,917.106
maze512.txt,AStar,7,1139.18,917.106
maze512.txt,AStar,8,1176.72,917.106
maze512.txt,AStar,9,1144.52,917.106
maze512.txt,AStar,10,1160.09,917.106
maze512.txt,AStar,11,1121.91,917.106
maze512.txt,AStar,12,1129.63,917.106
maze512.txt,AStar,13,1155.28,917.106
maze512.txt,AStar,14,1436.9,917.106
maze512.txt,AStar,15,1242.05,917.106
maze512.txt,AStar,16,1150.1,917.106
maze512.txt,AStar,17,1136.56,917.106
maze512.txt,AStar,18,1133.1,917.106
maze512.txt,AStar,19,1147.02,917.106
maze512.txt,WAStar,0,11.5007,1229.1
maze512.txt,WAStar,1,10.799,1229.1
maze512.txt,WAStar,2,10.2275,1229.1
maze512.txt,WAStar,3,10.43,1229.1
maze512.txt,WAStar,4,10.1868,1229.1
maze512.txt,WAStar,5,10.2598,1229.1
maze512.txt,WAStar,6,10.2655,1229.1
maze512.txt,WAStar,7,10.4226,1229.1
maze512.txt,WAStar,8,10.3066,1229.1
maze512.txt,WAStar,9,10.2135,1229.1
maze512.txt,WAStar,10,11.3719,1229.1
maze512.txt,WAStar,11,10.2604,1229.1
maze512.txt,WAStar,12,11.0231,1229.1
maze512.txt,WAStar,13,10.2897,1229.1
maze512.txt,WAStar,14,10.4942,1229.1
maze512.txt,WAStar,15,10.1848,1229.1
maze512.txt,WAStar,16,10.4256,1229.1
maze512.txt,WAStar,17,10.2199,1229.1
maze512.txt,WAStar,18,10.3036,1229.1
maze512.txt,WAStar,19,10.3595,1229.1
